Index,Value,Extra
257,3.2,3.175754034
258,3.2,3.187322356
259,3.2001,3.198846251
260,3.193,3.210345707
261,3.5202,3.220908562
262,3.95,3.230258467
263,3.89,3.239736987
264,3.8901,3.249179733
265,3.9468,3.258432483
266,3.94,3.267669397
267,4.225,3.276094171
268,4.018,3.285052887
269,4.07,3.293836724
270,4.1855,3.302273107
271,4.166,3.310731931
272,4.248,3.318936154
273,4.722,3.325816727
274,5.2677,3.331182789
275,5.2168,3.336668499
276,4.8808,3.343051795
277,5.5738,3.347520445
278,6.9476,3.348222751
279,6.6969,3.34960698
280,6.81,3.350677549
281,7.1136,3.350915498
282,6.3257,3.353303667
283,6.36,3.355589842
284,6.9,3.356393754
285,6.8,3.357467896
286,6.41,3.359603117
287,6.75,3.36080268
288,7.0018,3.361310629
289,6.6825,3.362688637
290,5.6,3.367017574
291,5.92,3.370458055
292,6.3598,3.372686028
293,6.4898,3.374551512
294,6.18,3.377256624
295,6.3097,3.379598509
296,6.356,3.381806136
297,6.2898,3.38418717
298,5.75,3.388034284
299,5.34,3.392988227
300,5.292,3.398056894
301,5.6267,3.402194918
302,5.3809,3.406990591
303,5.4905,3.411471299
304,5.4838,3.415955709
305,6.0756,3.418809453
306,6.1,3.421587328
307,5.9593,3.424740479
308,5.8734,3.428118077
309,5.6888,3.431988981
310,5.4535,3.436490116
311,5.69,3.440331035
312,5.6,3.444405553
313,5.83,3.447839034
314,5.9126,3.451036096
315,5.6005,3.455075485
316,5.5147,3.459336542
317,5.26,3.464279911
318,4.4629,3.471384912
319,4.3251,3.47884421
320,4.2739,3.486420254
321,4.41,3.49360119
322,4.222,3.501273513
323,4.3867,3.508472454
324,4.3615,3.515718209
325,4.272,3.523186331
326,4.4247,3.530214669
327,5.015,3.53560935
328,5.0288,3.540950039
329,4.773,3.546973352
330,4.922,3.552571584
331,4.956,3.558060183
332,4.868,3.563772774
333,4.86,3.569490216
334,4.9213,3.575023246
335,4.705,3.581130755
336,4.6144,3.587467735
337,4.82,3.593224445
338,4.9843,3.598515457
339,4.9901,3.603775155
340,4.9375,3.609163207
341,4.9302,3.614555538
342,4.8611,3.620121005
343,4.8332,3.625746605
344,4.91,3.631146188
345,4.8901,3.636584619
346,5.27,3.640969628
347,5.38,3.645041599
348,5.3266,3.649247853
349,5.3439,3.653394896
350,5.2159,3.657879882
351,5.2794,3.662178717
352,4.6939,3.668065034
353,4.8379,3.673541403
354,4.8149,3.679065271
355,4.7043,3.684875875
356,4.686,3.690720291
357,4.676,3.696575795
358,4.55,3.702759327
359,4.6191,3.708736985
360,4.8113,3.714173051
361,4.788,3.719657843
362,4.8084,3.725071872
363,4.86,3.73031574
364,4.9087,3.735466599
365,4.827,3.740873937
366,4.974,3.745693436
367,4.952,3.750709442
368,4.9101,3.755958645
369,4.919,3.761233039
370,4.9499,3.766462437
371,4.6872,3.772391795
372,4.7925,3.778084677
373,4.8719,3.783562561
374,4.8367,3.788944348
375,4.9279,3.793968409
376,4.9197,3.798875099
377,4.94,3.803819026
378,4.9597,3.808614887
379,4.9689,3.813289998
380,4.932,3.818007094
381,4.9759,3.822582592
382,5.1178,3.826988062
383,5.1377,3.831223886
384,5.35,3.834425872
385,5.2601,3.837196562
386,5.2035,3.840417283
387,4.96,3.844585857
388,5.0982,3.847836373
389,5.1318,3.85081905
390,5.0976,3.853178059
391,5.1095,3.853857261
392,4.9794,3.853422036
393,4.9044,3.854640748
394,4.9491,3.85544922
395,5,3.855723852
396,5.0737,3.855977702
397,5.1344,3.856420606
398,5.067,3.856883202
399,5.077,3.856957557
400,5.0499,3.856659495
401,5.06,3.856670067
402,5.05,3.85148242
403,5.0437,3.847409836
404,4.85,3.841947459
405,4.96,3.831364742
406,4.9462,3.823856777
407,4.93,3.817226648
408,5.0059,3.807833687
409,5.035,3.800926275
410,5.0887,3.794938574
411,5.0998,3.789336171
412,5.118,3.787150154
413,5.0995,3.783725737
414,5.09,3.778957607
415,5.0998,3.773108053
416,5.0988,3.76672783
417,5.1397,3.757795026
418,5.119,3.748079176
419,5.1455,3.739327621
420,5.1032,3.731440275
421,5.139,3.723300163
422,5.1358,3.714366462
423,5.15,3.705756053
424,5.135,3.695142082
425,5.1801,3.681846141
426,5.2748,3.658585775
427,5.249,3.623367783
428,5.2051,3.594708647
429,5.266,3.561278681
430,5.44,3.513328968
431,5.46,3.450637688
432,5.591,3.39022615
433,5.633,3.343830407
434,5.56,3.323263131
435,5.4683,3.292599757
436,5.5747,3.258530797
437,5.7,3.226021315
438,5.929,3.192665045
439,5.9541,3.166323
440,6.5,3.14261029
441,6.4,3.115817038
